,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all
MOF295,2.7556,22.8416,16.932,39.7736,576.0,768.0,576.0,1344.0,1.0,4.0,4.0,8.0,16.0,32.0,48.0,80.0,1.6129,3.7084,3.9116,7.62,0.0,-7.12,-3.56,-10.68,0.0,64.0,72.0,136.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0,2.16,2.0,4.16,144.0441,255.969,399.6456,462.213,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.1268,27.591,31.0002,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF296,3.5344,29.0272,39.5176,46.1352,729.0,1485.0,2538.0,1809.0,1.0,5.0,8.0,9.0,25.0,65.0,140.0,130.0,1.5876,5.3298,8.8956,8.9586,0.0,-6.04,-5.98,-7.62,0.0,80.0,122.0,176.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,19.0,0.0,2.07,3.02,4.23,104.1446,236.4188,345.9244,323.447,512.0,1184.0,1684.0,1328.0,14.0,32.0,48.0,46.0,80.0,200.0,292.0,238.0,7.2062,17.3744,25.504,21.9166,9.2416,17.49013333,21.66506667,19.96266667,49.0,93.33333333,116.6666667,88.66666667,1.0,2.0,2.666666667,2.666666667,4.0,9.333333333,14.66666667,13.33333333,0.5625,1.135,1.53,1.34,54.76,128.76,203.7466667,189.475076,0.0,0.326666667,0.98,1.54,0.0,0.666666667,2.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.666666667,-2.0,-1.333333333,0.0,-0.013333333,-0.04,0.213333333,0.0,-2.6,-7.8,-5.871406667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF301,3.5344,38.30186667,42.42533333,110.9701333,729.0,1278.0,3240.0,3636.0,1.0,6.0,10.0,18.66666667,36.0,108.0,216.0,296.0,1.5876,5.5356,10.752,17.1192,0.0,-9.093333333,-3.766666667,-23.93333333,0.0,114.6666667,150.0,369.3333333,0.0,0.0,0.0,0.0,0.0,18.0,24.0,62.66666667,0.0,3.166666667,4.066666667,9.933333333,116.6135,212.874,324.5334,355.6004,560.0,1020.0,1470.0,1430.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,216.0,7.2551,15.631,21.798,22.5774,11.3152,10.1184,22.47328,23.11808,61.0,55.2,116.2,113.6,1.0,1.2,2.4,2.6,1.6,4.8,7.2,7.2,0.53882,0.68068,1.278,1.33902,33.424,81.36,127.2265228,133.3090456,0.0,0.908,1.174,1.502,0.0,2.0,3.4,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.2,0.0,-0.04,0.032,0.1,0.0,-6.36,-6.561422,-6.822844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF302,1.7161,26.68906667,27.07333333,77.32493333,144.0,568.0,840.0,1616.0,1.0,6.0,10.0,18.66666667,36.0,108.0,216.0,296.0,1.9321,6.106733333,12.46366667,18.88546667,0.0,-12.51333333,-7.566666667,-34.57333333,0.0,24.66666667,50.0,89.33333333,0.0,0.0,0.0,0.0,0.0,18.0,24.0,62.66666667,0.0,3.946666667,4.933333333,12.36,116.6135,212.874,324.5334,355.6004,560.0,1020.0,1470.0,1430.0,15.0,30.0,44.0,50.0,74.0,174.0,224.0,216.0,7.2551,15.631,21.798,22.5774,11.3152,10.1184,22.47328,23.11808,61.0,55.2,116.2,113.6,1.0,1.2,2.4,2.6,1.6,4.8,7.2,7.2,0.53882,0.68068,1.278,1.33902,33.424,81.36,127.2265228,133.3090456,0.0,0.908,1.174,1.502,0.0,2.0,3.4,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.2,0.0,-0.04,0.032,0.1,0.0,-6.36,-6.561422,-6.822844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF303,1.7689,36.6016,16.1196,100.548,1600.0,2560.0,7040.0,7040.0,1.0,8.0,6.666666667,22.66666667,64.0,149.3333333,320.0,373.3333333,2.3716,8.9936,12.64853333,25.64613333,0.0,-16.88,-3.253333333,-45.45333333,0.0,256.0,90.66666667,730.6666667,0.0,0.0,0.0,0.0,0.0,45.33333333,13.33333333,134.6666667,0.0,6.48,2.053333333,18.25333333,243.9313,464.202,749.3458,925.854,1132.0,2160.0,3274.0,3504.0,33.0,68.0,108.0,140.0,176.0,436.0,628.0,716.0,15.4377,34.8964,52.2924,62.3084,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF304,2.7225,20.064,33.66,68.244,900.0,840.0,1440.0,2400.0,1.0,4.0,8.0,16.0,16.0,48.0,96.0,160.0,1.7161,3.93,8.0696,13.9384,0.0,-5.56,-7.2,-14.96,0.0,92.0,192.0,400.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,24.0,0.0,2.24,4.32,10.32,70.8468,139.23,199.6012,153.4644,309.0,612.0,754.0,450.0,10.0,20.0,28.0,22.0,48.0,108.0,126.0,74.0,4.4402,9.8252,12.6004,8.195,9.2416,15.504,31.4336,23.8336,49.0,84.0,140.0,70.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,6.0,0.5625,1.155,1.995,1.1025,54.76,167.24,255.352614,105.925228,0.0,0.98,1.82,1.28,0.0,2.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,3.0,0.0,-0.04,0.34,0.78,0.0,-7.8,-4.90711,7.88578,11.8336,8.772,16.34,20.9152,64.0,48.0,56.0,112.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5329,0.5621,0.8322,1.095,28.09,59.89,83.777683,78.44,0.0,0.89,2.13,0.8,0.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.04,0.32,-0.04,0.0,-6.0,-5.20711,-4.2
MOF306,2.5921,33.2304,21.6062,71.806,169.0,624.0,650.0,1352.0,1.0,6.0,6.0,14.0,36.0,72.0,144.0,192.0,1.5876,5.5188,7.056,13.0788,0.0,-10.98,-3.76,-22.06,0.0,30.0,28.0,78.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,52.0,0.0,3.18,1.96,7.26,99.3544,174.216,247.5604,231.387,544.0,960.0,1360.0,1272.0,12.0,24.0,32.0,30.0,56.0,124.0,142.0,124.0,6.8748,13.9832,18.4864,17.2942,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF307,3.6481,37.38506667,54.2822,87.8218,784.0,1269.333333,2426.666667,2688.0,1.0,6.0,11.33333333,16.0,36.0,104.0,196.0,224.0,1.4641,5.364333333,9.913933333,13.29386667,0.0,-8.113333333,-6.773333333,-15.42,0.0,122.6666667,230.6666667,352.0,0.0,0.0,0.0,0.0,0.0,18.66666667,35.33333333,58.66666667,0.0,2.826666667,5.52,8.373333333,138.61435,275.3702,434.6922,459.9901,614.5,1232.0,1722.0,1489.0,19.0,39.0,61.0,70.0,100.0,244.0,335.0,318.0,8.4859,19.3355,27.8113,28.0702,10.5376,12.8828,22.1436,15.992,56.5,69.5,105.0,72.5,1.0,1.5,2.5,2.0,2.5,6.5,9.0,8.0,0.5477,0.85105,1.25625,0.9896,41.425,99.135,129.856307,118.376307,0.0,0.69,1.11,1.555,0.0,1.5,4.5,5.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,-2.5,0.0,-0.03,0.16,0.14,0.0,-4.95,-3.503555,-6.503555,10.5376,16.014,36.7964,20.0808,56.5,87.0,140.0,79.5,1.0,2.0,4.5,2.5,5.0,16.5,20.0,10.5,0.5477,1.1473,1.95375,1.12085,41.425,155.375,207.265228,120.622614,0.0,1.18,2.37,1.73,0.0,2.5,13.5,8.0,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.0,0.0,-0.05,0.73,0.34,0.0,-8.85,0.83578,-3.10711
MOF309,3.5344,35.7952,47.94,69.6728,729.0,1188.0,1620.0,1890.0,1.0,6.0,10.0,14.0,36.0,96.0,180.0,180.0,1.5876,5.6196,9.702,11.4156,0.0,-7.76,-6.7,-10.74,0.0,118.0,210.0,308.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,54.0,0.0,3.1,4.9,8.58,109.58272,207.5088,318.41248,313.77868,535.6,1017.6,1482.4,1379.2,14.0,28.8,42.4,42.8,71.2,168.0,221.6,199.2,6.9534,15.2768,21.57928,20.42252,9.8896,13.821,27.9818,31.567,52.75,75.0,129.5,155.5,1.0,1.75,3.5,3.75,3.25,9.75,15.5,15.75,0.5551,1.006775,1.7775,1.981775,48.0925,140.4025,227.9394605,234.778807,0.0,0.9575,1.8325,1.4,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.75,-1.5,0.0,-0.04,0.235,0.15,0.0,-7.35,-7.1303325,-6.353555,5.9168,4.386,10.3028,9.6148,32.0,24.0,56.0,52.0,0.5,0.5,1.0,1.0,0.5,1.5,2.0,2.5,0.26645,0.28105,0.5475,0.5548,14.045,29.945,43.99,49.555,0.0,0.445,0.445,0.645,0.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.5,0.0,-0.02,-0.02,-0.03,0.0,-3.0,-3.0,-4.05
MOF310,3.5344,35.7952,47.94,69.6728,729.0,1188.0,1620.0,1890.0,1.0,6.0,10.0,14.0,36.0,96.0,180.0,180.0,1.5876,5.6196,9.702,11.4156,0.0,-7.76,-6.7,-10.74,0.0,118.0,210.0,308.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,54.0,0.0,3.1,4.9,8.58,109.5228,211.225,320.1564,319.6026,512.0,992.0,1400.0,1266.0,14.66666667,30.0,44.0,45.33333333,74.0,174.0,224.0,196.6666667,6.955066667,15.4462,21.4428,20.00826667,9.8896,13.821,27.9818,31.035,52.75,75.0,129.5,138.0,1.0,1.75,3.5,3.75,3.25,9.75,15.5,13.75,0.5551,1.006775,1.7775,1.831775,48.0925,140.4025,227.9394605,209.645114,0.0,0.9575,1.8325,1.575,0.0,2.0,7.0,7.5,0.0,0.0,0.0,0.0,0.0,-2.0,-1.75,-0.5,0.0,-0.04,0.235,0.35,0.0,-7.35,-7.1303325,-2.95711,5.9168,4.386,10.3028,9.6148,32.0,24.0,56.0,52.0,0.5,0.5,1.0,1.0,0.5,1.5,2.0,2.5,0.26645,0.28105,0.5475,0.5548,14.045,29.945,43.99,49.555,0.0,0.445,0.445,0.645,0.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.5,0.0,-0.02,-0.02,-0.03,0.0,-3.0,-3.0,-4.05
MOF311,2.3716,31.7856,16.5242,59.4594,484.0,1056.0,1364.0,1980.0,1.0,6.0,5.0,12.0,36.0,72.0,126.0,162.0,1.8496,5.9568,6.8408,12.0768,0.0,-11.4,-3.03,-20.13,0.0,84.0,48.0,174.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,45.0,0.0,3.78,1.77,7.44,136.3208,236.232,371.5924,454.4014,740.0,1296.0,2032.0,2476.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,9.1248,18.6032,27.7264,33.4042,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,9.2416,7.752,15.504,32.4976,49.0,42.0,84.0,175.0,1.0,1.0,2.0,4.0,1.0,3.0,6.0,10.0,0.5625,0.5775,1.155,2.295,54.76,83.62,167.24,305.62,0.0,0.49,0.98,1.47,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-6.0,0.0,-0.02,-0.04,-0.06,0.0,-3.9,-7.8,-11.7
MOF312,2.7225,20.064,33.66,72.27,900.0,840.0,1440.0,3720.0,1.0,4.0,8.0,16.0,16.0,48.0,96.0,128.0,1.7161,3.93,8.0696,15.0912,0.0,-5.56,-7.2,-17.4,0.0,92.0,192.0,356.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,32.0,0.0,2.24,4.32,9.44,62.8019,118.473,172.9108,113.0688,785.0,828.0,1322.0,1486.0,8.0,16.0,22.0,14.0,38.0,84.0,96.0,34.0,5.0008,9.4248,12.9358,9.119,9.2416,15.504,33.288,9.6064,49.0,84.0,217.0,119.0,1.0,2.0,4.0,1.0,4.0,12.0,14.0,2.0,0.5625,1.155,2.16,0.7425,54.76,167.24,279.772614,108.04,0.0,0.98,1.21,-0.12,0.0,2.0,-3.0,-10.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,1.0,0.0,-0.04,0.12,-0.24,0.0,-7.8,-8.20711,-7.2,9.9856,8.058,17.6644,27.65,289.0,102.0,221.0,510.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,6.0,0.9801,0.7623,1.5048,2.4849,213.16,164.98,273.02,486.18,0.0,0.61,0.73,0.73,0.0,11.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-3.0,0.0,0.22,0.46,0.46,0.0,3.3,10.5,10.5
MOF314,3.3489,31.476,25.3638,69.0276,676.0,1040.0,1976.0,2288.0,1.0,5.0,6.0,12.0,25.0,55.0,110.0,140.0,1.5625,4.5625,6.975,11.15,0.0,-8.05,-2.88,-15.76,0.0,90.0,80.0,224.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,32.0,0.0,2.6,1.92,6.08,246.232,465.2432,722.7848,877.715,1192.0,2258.0,3368.0,3584.0,32.0,66.0,100.0,126.0,166.0,404.0,560.0,598.0,15.696,34.8202,50.7404,58.6302,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,9.2416,16.9936,23.256,44.384,49.0,91.0,126.0,182.0,1.0,2.0,3.0,6.0,4.0,10.0,18.0,28.0,0.5625,1.14,1.7325,2.865,54.76,138.38,250.86,401.185228,0.0,0.49,1.47,3.64,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-2.0,0.0,-0.02,-0.06,0.68,0.0,-3.9,-11.7,-9.81422
MOF315,1.7689,36.6016,20.6416,105.07,1600.0,2560.0,7360.0,7360.0,1.0,8.0,8.0,24.0,64.0,160.0,352.0,448.0,2.3716,8.9936,14.2296,27.2272,0.0,-16.88,-4.88,-47.08,0.0,256.0,136.0,776.0,0.0,0.0,0.0,0.0,0.0,44.0,20.0,136.0,0.0,6.48,3.08,19.28,227.7488,428.757,681.7808,836.094,1094.0,2064.0,3152.0,3408.0,30.0,62.0,96.0,124.0,158.0,390.0,560.0,636.0,14.571,32.571,48.5536,57.75,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF316,1.9044,48.5346,10.557,21.114,8464.0,7544.0,1656.0,3312.0,1.0,11.0,3.0,6.0,121.0,286.0,99.0,198.0,2.89,13.855,3.927,7.854,0.0,-19.99,-3.51,-7.02,0.0,930.0,258.0,516.0,0.0,0.0,0.0,0.0,0.0,95.0,24.0,48.0,0.0,10.55,2.79,5.58,487.2588,1050.447,1717.0808,2258.894,2118.0,4704.0,7280.0,8564.0,74.0,162.0,264.0,360.0,426.0,1098.0,1688.0,2072.0,33.3626,82.005,128.4488,161.4504,10.05656667,13.8635,18.07206667,19.771,54.66666667,76.0,98.66666667,92.0,1.0,1.666666667,2.0,2.666666667,3.666666667,7.0,8.666666667,12.0,0.5529,0.9471,1.125266667,1.334666667,61.29,122.4166667,143.78,198.933562,0.0,7.4e-17,0.593333333,1.42,0.0,0.0,1.333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.333333333,-1.333333333,0.0,0.0,-0.026666667,0.213333333,0.0,1.03e-32,-4.0,-3.471406667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF319,3.5344,22.8608,38.352,77.7568,729.0,756.0,1296.0,2160.0,1.0,4.0,8.0,16.0,16.0,48.0,96.0,224.0,1.5876,3.78,7.7616,13.4064,0.0,-4.64,-5.36,-11.28,0.0,80.0,168.0,352.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,0.0,2.04,3.92,9.52,83.2132,206.826,339.1812,245.394,250.0,582.0,726.0,366.0,14.0,34.0,58.0,38.0,110.0,312.0,312.0,202.0,4.5918,12.3714,17.0706,11.555,9.2416,15.504,31.4336,46.816,49.0,84.0,140.0,49.0,1.0,2.0,4.0,7.0,4.0,12.0,26.0,26.0,0.5625,1.155,1.995,1.9425,54.76,167.24,255.352614,233.468298,0.0,0.98,1.82,5.88,0.0,2.0,8.0,42.0,0.0,0.0,0.0,0.0,0.0,-2.0,-5.0,1.0,0.0,-0.04,0.34,2.66,0.0,-7.8,-4.90711,20.25023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF321,3.6481,37.8944,29.223,49.2398,784.0,1288.0,1008.0,1456.0,1.0,6.0,6.0,10.0,36.0,84.0,108.0,168.0,1.4641,5.3482,5.5902,8.3006,0.0,-8.38,-3.84,-6.68,0.0,122.0,132.0,228.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,32.0,0.0,2.84,2.64,5.24,281.6151,597.607,953.4196,1189.8575,1224.0,2704.0,4132.0,4576.0,43.5,92.0,148.0,191.0,240.0,604.0,890.0,1055.0,18.5707,45.462,69.406,84.0779,10.1056,13.26,27.82426667,28.85066667,54.0,72.0,130.6666667,78.66666667,1.0,1.666666667,3.333333333,4.0,3.0,9.0,16.0,11.33333333,0.552633333,0.957366667,1.695,1.499733333,45.87,131.4566667,199.5617427,184.6136373,0.0,0.95,1.51,3.16,0.0,2.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.666666667,0.666666667,0.0,-0.04,0.213333333,0.973333333,0.0,-7.2,-5.271406667,1.114373333,9.55736,20.14426667,39.37056,47.5888,62.8,120.2666667,224.0,162.9333333,1.0,2.666666667,5.066666667,7.066666667,7.733333333,22.66666667,40.13333333,35.06666667,0.606813333,1.579093333,2.868373333,2.92108,136.75,298.7930244,529.9844093,594.4862553,0.0,1.209333333,1.757333333,4.146666667,0.0,5.6,11.46666667,38.53333333,0.0,0.0,0.0,0.0,0.0,0.0,1.466666667,9.333333333,0.0,0.101333333,0.397333333,2.149333333,0.0,-2.360948,3.79526,34.63348667
